title,link,source
Cultural Architecture Barn Again Pavilion / THISS Studio + Tom Svilans,https://www.archdaily.com/1034418/barn-again-pavilion-thiss-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion EXPO Osaka 2025 Sauna 'TAIYO TSUBOMI' / KOMPAS,https://www.archdaily.com/1034391/expo-osaka-2025-sauna-taiyo-tsubomi-kompas?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Future Life Village Pavilion / KOMPAS,https://www.archdaily.com/1034387/osaka-expo-2025-future-life-village-pavilion-kompas?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Raw Materials Pavilion / OficinaTransversal,https://www.archdaily.com/1034239/raw-materials-pavilion-oficinatransversal?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Thailand Pavilion / Architects 49,https://www.archdaily.com/1033268/osaka-expo-2025-thailand-pavilion-architects-49?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Poland Pavilion Expo 2025 Osaka / interplay architects,https://www.archdaily.com/1031464/poland-pavilion-expo-2025-osaka-interplay-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion All Together Under the Umbrella / Cheng Tsung FENG Design Studio,https://www.archdaily.com/1033442/all-together-under-the-umbrella-cheng-tsung-feng-design-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Ceramic Pavilions in the Northern Fields of Valencia / Bona fide taller,https://www.archdaily.com/1033044/ceramic-pavilions-in-the-northern-fields-of-valencia-bona-fide-taller?ad_source=search&ad_medium=projects_tab,ArchDaily
Landscape Architecture Half-Mountain Cloud Station / Qing Studio + Li Nu,https://www.archdaily.com/1032578/half-mountain-cloud-station-qing-studio-plus-li-nu?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Healthcare Pavilion Nest for Reborn / Tohata Architects & Engineers,https://www.archdaily.com/1032425/osaka-expo-2025-healthcare-pavilion-nest-for-reborn-tohata-architects-and-engineers?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Switzerland Pavilion Expo 2025 Osaka / Manuel Herz Architects,https://www.archdaily.com/1031282/switzerland-pavilion-expo-2025-osaka-manuel-herz-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Spanish Pavilion Expo Osaka 2025 / ENORME Studio + Smart and Green Design + EXTUDIO,https://www.archdaily.com/1032081/spanish-pavilion-expo-osaka-2025-enorme-studio-plus-smart-and-green-design-plus-extudio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Teummak Open Hut / one-aftr,https://www.archdaily.com/1032022/teummak-open-hut-one-aftr?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Colombia Pavilion / MORF Inc.,https://www.archdaily.com/1031868/osaka-expo-2025-colombia-pavilion-morf-inc?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion EXPO National Day Hall 'Ray Garden' / akihisa hirata architecture office,https://www.archdaily.com/1031796/expo-national-day-hall-ray-garden-akihisa-hirata-architecture-office?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture The Italian Pavilion Expo 2025 Osaka / Mario Cucinella Architects + Yoshiki Matsuda Architects,https://www.archdaily.com/1031271/the-italian-pavilion-expo-2025-osaka-mario-cucinella-architects-plus-yoshiki-matsuda-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion The Lake House / Wutopia Lab,https://www.archdaily.com/1031432/the-lake-house-wutopia-lab?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Phoenix Feather Tea Pavilion / Kong Xiangwei Studio,https://www.archdaily.com/1031223/phoenix-feather-tea-pavilion-kong-xiangwei-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion France Pavilion at the Osaka World Expo 2025 / Carlo Ratti Associati + Coldefy,https://www.archdaily.com/1030936/france-pavilion-expo-2025-osaka-carlo-ratti-associati-plus-coldefy?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Serbia Pavilion Expo 2025 Osaka / Aleatek Studio,https://www.archdaily.com/1030594/serbia-pavilion-expo-2025-osaka-aleatek-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Expo 2025 Osaka Pavilion null² / Noiz Architects,https://www.archdaily.com/1030710/expo-2025-osaka-pavilion-null2-noiz-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Pavilion of Estonia Let Me Warm You Biennale Architettura 2025 / Keiti Lige + Elina Liiva + Helena Männa,https://www.archdaily.com/1030040/pavilion-of-estonia-let-me-warm-you-biennale-architettura-2025-keiti-lige-plus-elina-liiva-plus-helena-manna?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Expo Osaka 2025 Portugal Pavilion / Kengo Kuma & Associates,https://www.archdaily.com/1029833/embargo-expo-osaka-2025-portugal-pavilion-kengo-kuma-and-associates?ad_source=search&ad_medium=projects_tab,ArchDaily
Public Space Křižík Pavilions Reconstruction / Výstaviště Praha,https://www.archdaily.com/1029908/krizik-pavilions-reconstruction-vystaviste-praha?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Luxembourg Pavilion Expo 2025 Osaka / STDM architectes,https://www.archdaily.com/1029944/luxembourg-pavilion-at-expo-2025-osaka-kansai-stdm-architectes?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Growing Matter(s) Pavilion / Henning Larsen Architects,https://www.archdaily.com/1029599/growing-matter-s-pavilion-henning-larson-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture The Netherlands Pavilion Expo Osaka 2025 / RAU Architects,https://www.archdaily.com/1029369/the-netherlands-pavilion-expo-osaka-2025-rau-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Czech Pavilion Expo 2025 Osaka / Apropos Architects,https://www.archdaily.com/1029617/czech-pavilion-expo-2025-osaka-apropos-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Expo 2025 Osaka Women’s Pavilion in Collaboration with Cartier / Yuko Nagayama & Associates,https://www.archdaily.com/1029501/expo-2025-osaka-womens-pavilion-in-collaboration-with-cartier-yuko-nagayama-and-associates?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Expo 2025 Osaka Panasonic Group Pavilion / Yuko Nagayama & Associates,https://www.archdaily.com/1029502/expo-2025-osaka-panasonic-group-pavilion-yuko-nagayama-and-associates?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion TAM TAM Installation FuoriSalone / Alvisi Kirimoto + Partners,https://www.archdaily.com/1029443/tam-tam-installation-fuorisalone-alvisi-kirimoto-plus-partners?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture AI Pavilion / Sauerbruch Hutton,https://www.archdaily.com/1028132/ai-pavilion-sauerbruch-hutton?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion KSA Pavilion Expo 2025 Osaka / Foster + Partners,https://www.archdaily.com/1029205/ksa-pavilion-expo-2025-osaka-foster-plus-partners?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion UK Pavilion at Expo 2025 Osaka / WOO Architects,https://www.archdaily.com/1029184/uk-pavilion-at-expo-2025-osaka-woo-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
"Pavilion Anatomy of a Dhow, Bahrain Pavilion Osaka Expo 2025 / Lina Ghotmeh Architecture",https://www.archdaily.com/1029138/anatomy-of-a-dhow-bahrain-pavilion-osaka-expo-2025-lina-ghotmeh-architecture?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Circular Pavilion / Fabian A. Wagner + Wiss. Ass. Louise Daussy + Hochschule Kaiserslautern University of Applied Sciences,https://www.archdaily.com/1028815/circular-pavilion-fabian-a-wagner-plus-wiss-ass-louise-daussy-plus-hochschule-kaiserslautern-university-of-applied-sciences?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Japan Pavilion / Nikken Sekkei,https://www.archdaily.com/1028817/osaka-expo-2025-japan-pavilion-nikken-sekkei?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Chiostro Illuminato Installation / STUDIO TEPHRA,https://www.archdaily.com/1028439/chiostro-illuminato-installation-studio-tephra?ad_source=search&ad_medium=projects_tab,ArchDaily
